zip_prefix,state,latitude,longitude,city_bucket
10101,AL,32.4133,-86.6283,city_0197
10102,NE,40.8641,-99.7474,city_0997
10103,PA,40.3377,-77.2823,city_1636
10104,KS,38.9752,-98.9569,city_0247
10108,WY,41.8738,-107.5369,city_0943
10110,AR,34.1726,-93.5392,city_1836
10111,AZ,33.1233,-110.8144,city_1793
10112,MD,39.3299,-75.6513,city_1842
10114,NC,36.1528,-77.5529,city_1249
10115,AL,32.0944,-85.5977,city_0658
10117,HI,20.3642,-157.4412,city_0289
10118,CO,38.9866,-104.566,city_1538
10119,WY,43.1454,-106.1162,city_0751
10120,CO,38.0606,-105.0981,city_0141
10121,NE,41.958,-98.9668,city_1856
10123,CO,38.6258,-106.0418,city_0638
10124,ID,44.7952,-115.3102,city_0863
10125,WI,43.5917,-89.6054,city_1161
10126,NV,38.127,-116.8069,city_0023
10127,RI,41.9393,-70.8933,city_0986
10128,WV,38.4278,-82.8285,city_1794
10129,MS,33.1222,-90.7879,city_0632
10132,TN,35.4999,-86.4827,city_1588
10133,HI,20.9625,-154.6822,city_1450
10134,UT,39.4757,-112.966,city_1546
10136,IN,41.5779,-85.7676,city_0786
10137,TN,34.714,-85.3379,city_0866
10139,MT,47.2006,-110.4764,city_0375
10141,MA,42.3774,-71.1652,city_1653
10142,AZ,33.9981,-110.9071,city_0241
10144,NE,42.0631,-99.3992,city_0127
10145,SD,42.9974,-100.0803,city_1233
10146,VA,37.4042,-78.165,city_1712
10147,WV,38.5277,-78.7834,city_1586
10148,NV,39.117,-117.4468,city_1094
10149,NH,43.211,-71.292,city_0212
10150,WY,43.1237,-103.8897,city_0462
10151,KS,38.4138,-98.1266,city_0507
10152,MI,43.5267,-85.764,city_0308
10154,MN,47.3198,-94.9306,city_0196
10155,IN,40.3125,-85.2138,city_1176
10156,TX,31.0146,-97.9616,city_1497
10157,ID,45.85,-114.673,city_1385
10158,WI,43.6087,-89.0498,city_1843
10159,MN,45.2231,-94.0329,city_0330
10160,CO,39.4576,-106.3018,city_1367
10161,TN,36.3014,-87.3956,city_1361
10162,WI,44.7415,-89.7799,city_1194
10163,MO,39.02,-93.3434,city_0001
10165,NM,34.7909,-105.5885,city_1507
10166,OK,35.2601,-95.1757,city_1783
10167,OK,36.165,-96.2321,city_1709
10168,MS,32.7432,-88.3511,city_0865
10169,OH,40.2239,-84.3032,city_1820
10171,UT,39.5272,-112.8712,city_1970
10173,NV,37.5965,-117.9674,city_0273
10174,AR,34.5738,-91.7945,city_1389
10177,ME,46.4857,-69.0708,city_0263
10181,MN,46.7206,-94.8491,city_1331
10182,MT,47.3134,-109.745,city_0436
10184,TN,36.3572,-85.9793,city_1063
10185,IL,40.2808,-88.0819,city_1723
10186,MS,34.0219,-89.2548,city_0457
10187,UT,40.2965,-111.8636,city_0891
10188,MO,39.1125,-90.2966,city_0259
10189,WI,44.1332,-90.3339,city_1508
10190,OK,36.6453,-95.9599,city_1383
10191,AK,62.0079,-151.5512,city_0584
10192,NY,42.8497,-75.7151,city_0281
10193,FL,28.753,-81.9506,city_0123
10194,FL,29.44,-80.7492,city_1301
10196,OH,40.73,-81.9869,city_1601
10197,NV,38.7876,-117.47,city_0208
10198,AK,63.0242,-153.9717,city_1000
10201,CA,37.2469,-119.2959,city_1737
10203,LA,31.3752,-91.8447,city_1832
10204,TN,34.464,-86.0997,city_0522
10207,AR,34.1029,-92.1531,city_0366
10209,WI,44.9501,-89.7035,city_1970
10210,MS,33.026,-89.2379,city_0798
10211,WV,39.2072,-81.0707,city_0882
10212,NM,35.2404,-105.4209,city_1847
10213,VA,37.2616,-76.5453,city_1269
10215,DE,40.3539,-73.8743,city_0211
10217,MS,33.3059,-87.3164,city_1559
10218,WA,47.6921,-121.4976,city_0917
10219,ND,47.4078,-99.3814,city_1931
10220,SD,43.8012,-100.9113,city_1771
10221,GA,32.8281,-82.3595,city_0830
10222,AL,31.9994,-87.4043,city_0018
10223,CA,36.2209,-120.149,city_1478
10224,OH,40.9217,-82.7433,city_1353
10225,RI,41.7327,-71.928,city_1944
10226,ID,43.684,-114.3689,city_0474
10228,LA,31.4536,-92.4376,city_1775
10229,WV,38.3564,-81.1095,city_1899
10230,OK,36.0541,-96.9835,city_0886
10231,WV,37.2327,-83.0039,city_1617
10233,OR,45.5428,-121.3648,city_1398
10234,MA,42.2463,-73.0919,city_1273
10235,DE,38.0378,-75.7702,city_1032
10236,OR,44.6841,-121.7093,city_0225
10237,RI,40.7961,-71.8912,city_0741
10239,AZ,34.405,-113.6641,city_0410
10240,NH,42.7881,-70.6671,city_1185
10241,NE,41.3174,-98.0766,city_0245
10244,WY,43.0159,-107.4818,city_1280
10245,NV,38.9725,-116.5233,city_1344
10247,ID,46.0469,-113.8454,city_1899
10249,WI,45.7849,-89.0282,city_1468
10250,NE,40.6425,-99.1029,city_0612
10251,NE,40.1181,-98.5554,city_1620
10252,AL,33.9981,-87.863,city_0638
10254,PA,40.1239,-76.7636,city_0331
10256,MA,41.9036,-72.1235,city_0707
10258,NV,37.7335,-117.0657,city_1081
