order_id,payment_sequential,payment_type,payment_installments,payment_value
ord_0000001,1,credit_card,1,16.72
ord_0000002,1,credit_card,1,47.91
ord_0000003,1,credit_card,1,28.48
ord_0000004,1,paypal,1,24.05
ord_0000005,1,credit_card,1,40.4
ord_0000006,1,credit_card,6,67.8
ord_0000007,1,credit_card,1,15.13
ord_0000008,1,paypal,1,106.11
ord_0000009,1,credit_card,1,12.7
ord_0000010,1,voucher,1,51.45
ord_0000011,1,credit_card,1,418.57
ord_0000012,1,credit_card,1,76.08
ord_0000013,1,credit_card,1,21.94
ord_0000014,1,credit_card,1,20.77
ord_0000015,1,debit_card,1,54.26
ord_0000015,2,debit_card,1,54.26
ord_0000016,1,credit_card,1,32.55
ord_0000017,1,paypal,1,227.7
ord_0000018,1,credit_card,6,60.77
ord_0000019,1,credit_card,1,93.93
ord_0000020,1,credit_card,1,31.81
ord_0000021,1,credit_card,1,170.7
ord_0000022,1,credit_card,2,364.57
ord_0000023,1,debit_card,1,58.93
ord_0000024,1,credit_card,1,108.55
ord_0000025,1,credit_card,2,54.66
ord_0000026,1,credit_card,6,96.99
ord_0000027,1,debit_card,1,26.36
ord_0000028,1,credit_card,6,80.67
ord_0000029,1,credit_card,1,64.56
ord_0000030,1,credit_card,1,80.87
ord_0000031,1,debit_card,1,45.8
ord_0000032,1,credit_card,4,59.51
ord_0000033,1,boleto,1,31.6
ord_0000033,2,credit_card,6,31.6
ord_0000034,1,paypal,1,37.03
ord_0000035,1,credit_card,1,22.63
ord_0000036,1,credit_card,6,62.43
ord_0000037,1,paypal,1,139.04
ord_0000038,1,credit_card,1,24.9
ord_0000039,1,credit_card,1,53.54
ord_0000040,1,credit_card,1,35.6
ord_0000041,1,debit_card,1,77.5
ord_0000042,1,credit_card,1,100.34
ord_0000043,1,debit_card,1,211.68
ord_0000044,1,debit_card,1,14.86
ord_0000045,1,boleto,1,59.88
ord_0000046,1,boleto,1,80.12
ord_0000046,2,credit_card,6,80.12
ord_0000047,1,credit_card,4,123.42
ord_0000048,1,credit_card,10,84.38
ord_0000048,2,credit_card,1,84.38
ord_0000049,1,paypal,1,112.97
ord_0000050,1,credit_card,1,46.41
ord_0000051,1,debit_card,1,50.85
ord_0000052,1,credit_card,2,129.06
ord_0000053,1,credit_card,10,170.3
ord_0000054,1,credit_card,1,115.0
ord_0000055,1,voucher,1,244.32
ord_0000056,1,paypal,1,23.98
ord_0000057,1,debit_card,1,84.39
ord_0000058,1,debit_card,1,19.36
ord_0000059,1,boleto,1,368.89
ord_0000060,1,debit_card,1,32.68
ord_0000061,1,credit_card,2,70.22
ord_0000062,1,credit_card,1,21.78
ord_0000063,1,voucher,1,14.07
ord_0000064,1,credit_card,4,69.09
ord_0000065,1,credit_card,1,62.19
ord_0000066,1,debit_card,1,41.92
ord_0000067,1,credit_card,1,39.52
ord_0000068,1,boleto,1,141.72
ord_0000069,1,credit_card,2,94.47
ord_0000070,1,credit_card,3,159.27
ord_0000071,1,debit_card,1,110.14
ord_0000072,1,boleto,1,103.02
ord_0000073,1,credit_card,1,69.6
