product_id,category_id,seller_id,price,weight_grams,length_cm,photos_qty
prd_0000001,cat_039,sel_000899,10.64,639,47,3
prd_0000002,cat_014,sel_001901,34.69,248,72,6
prd_0000003,cat_037,sel_001291,44.24,574,83,5
prd_0000004,cat_016,sel_001306,36.65,321,18,3
prd_0000005,cat_010,sel_000538,24.9,773,79,6
prd_0000006,cat_038,sel_000085,51.87,559,31,3
prd_0000007,cat_022,sel_002017,235.8,7753,11,3
prd_0000008,cat_013,sel_002121,16.14,2823,112,2
prd_0000009,cat_002,sel_000615,9.47,313,77,7
prd_0000010,cat_005,sel_000909,19.23,350,11,2
prd_0000011,cat_005,sel_000903,16.39,1647,17,1
prd_0000012,cat_013,sel_001716,13.82,18188,96,1
prd_0000013,cat_023,sel_000495,56.05,1632,67,5
prd_0000014,cat_011,sel_002437,30.3,277,27,1
prd_0000015,cat_003,sel_000169,70.8,753,74,5
prd_0000016,cat_009,sel_002424,26.43,352,111,3
prd_0000017,cat_014,sel_000195,79.84,883,81,5
prd_0000018,cat_041,sel_000793,28.13,1721,102,7
prd_0000019,cat_014,sel_000637,130.12,943,105,1
prd_0000020,cat_004,sel_000664,292.57,16494,114,4
prd_0000021,cat_022,sel_002481,114.12,3149,62,4
prd_0000022,cat_039,sel_001175,28.2,520,119,1
prd_0000023,cat_032,sel_000324,21.27,627,62,2
prd_0000024,cat_034,sel_002445,90.12,932,47,5
prd_0000025,cat_039,sel_000615,16.79,467,70,4
prd_0000026,cat_024,sel_000206,110.62,733,104,5
prd_0000027,cat_042,sel_000066,41.09,688,46,3
prd_0000028,cat_002,sel_001193,20.3,630,63,1
prd_0000029,cat_034,sel_002280,65.87,492,39,6
prd_0000030,cat_035,sel_000049,23.84,637,48,2
prd_0000031,cat_039,sel_001804,17.68,571,21,1
prd_0000032,cat_017,sel_000664,59.87,405,104,2
prd_0000033,cat_032,sel_000567,99.36,933,102,3
prd_0000034,cat_007,sel_001763,76.89,1318,119,2
prd_0000035,cat_023,sel_001878,87.56,653,14,7
prd_0000036,cat_012,sel_001433,126.2,586,17,5
prd_0000037,cat_023,sel_000522,87.06,876,117,5
prd_0000038,cat_025,sel_000018,21.96,658,101,1
prd_0000039,cat_012,sel_001839,33.42,1061,41,2
prd_0000040,cat_008,sel_001541,20.44,632,63,4
prd_0000041,cat_011,sel_001072,28.38,804,87,6
prd_0000042,cat_025,sel_000550,62.95,1427,52,7
prd_0000043,cat_025,sel_001924,105.97,1130,90,3
prd_0000044,cat_031,sel_000202,64.65,554,96,7
prd_0000045,cat_005,sel_001608,23.46,1030,53,4
prd_0000046,cat_034,sel_001727,44.65,351,13,5
prd_0000047,cat_026,sel_000580,20.97,542,55,5
prd_0000048,cat_002,sel_001244,34.67,910,116,7
prd_0000049,cat_011,sel_001335,9.77,1289,75,1
prd_0000050,cat_016,sel_001521,70.97,412,21,4
prd_0000051,cat_013,sel_002247,23.05,3945,17,5
prd_0000052,cat_005,sel_001400,18.65,600,116,4
prd_0000053,cat_008,sel_000188,67.08,572,12,5
prd_0000054,cat_001,sel_000871,33.76,326,10,1
prd_0000055,cat_004,sel_001579,376.49,19267,89,5
prd_0000056,cat_009,sel_000834,80.79,317,21,5
prd_0000057,cat_034,sel_001941,109.2,1059,67,5
prd_0000058,cat_019,sel_000502,73.26,1178,23,5
prd_0000059,cat_015,sel_000370,26.06,436,119,2
prd_0000060,cat_025,sel_000605,102.54,318,31,6
prd_0000061,cat_020,sel_002183,50.17,4920,42,2
prd_0000062,cat_005,sel_001708,17.28,462,41,6
prd_0000063,cat_008,sel_001335,20.88,540,51,2
prd_0000064,cat_008,sel_000745,48.85,628,45,5
prd_0000065,cat_023,sel_002280,127.2,376,79,2
prd_0000066,cat_016,sel_002215,53.73,1375,56,6
prd_0000067,cat_013,sel_001030,18.34,2902,85,3
prd_0000068,cat_021,sel_001895,24.37,3192,71,3
prd_0000069,cat_040,sel_002270,30.93,384,52,2
prd_0000070,cat_011,sel_000782,35.46,618,99,3
prd_0000071,cat_019,sel_000820,57.97,751,23,7
prd_0000072,cat_017,sel_001399,13.24,642,103,7
prd_0000073,cat_028,sel_001051,94.85,26422,17,1
prd_0000074,cat_029,sel_001922,53.63,6252,67,5
prd_0000075,cat_029,sel_001374,53.72,6527,10,6
prd_0000076,cat_007,sel_000547,134.94,428,75,5
prd_0000077,cat_016,sel_000899,69.49,708,50,3
prd_0000078,cat_033,sel_001678,14.7,1499,23,6
prd_0000079,cat_013,sel_000148,16.74,4787,40,5
prd_0000080,cat_041,sel_000864,46.2,808,63,2
prd_0000081,cat_013,sel_000049,29.18,6871,12,3
prd_0000082,cat_018,sel_002036,222.51,478,58,1
prd_0000083,cat_017,sel_000316,63.79,243,82,7
prd_0000084,cat_015,sel_000220,28.65,600,33,2
prd_0000085,cat_034,sel_001993,115.36,920,49,1
prd_0000086,cat_006,sel_000252,36.09,1639,59,7
prd_0000087,cat_022,sel_001716,226.14,3062,69,2
prd_0000088,cat_023,sel_000971,80.34,1039,78,5
prd_0000089,cat_034,sel_002036,69.85,683,105,7
prd_0000090,cat_023,sel_000483,47.25,493,88,1
prd_0000091,cat_040,sel_000243,25.28,355,49,3
prd_0000092,cat_037,sel_000595,74.56,448,104,2
prd_0000093,cat_012,sel_002321,43.23,799,33,2
prd_0000094,cat_035,sel_002060,9.33,1105,97,7
prd_0000095,cat_040,sel_000727,15.68,153,40,3
prd_0000096,cat_009,sel_000530,43.3,775,52,2
prd_0000097,cat_023,sel_000411,88.19,450,14,1
prd_0000098,cat_010,sel_000572,35.42,471,107,6
prd_0000099,cat_024,sel_000528,21.16,738,34,3
prd_0000100,cat_004,sel_002214,260.19,39196,14,1
prd_0000101,cat_030,sel_000054,120.28,1746,109,3
prd_0000102,cat_014,sel_002195,40.47,571,115,7
prd_0000103,cat_023,sel_000114,114.76,272,23,2
prd_0000104,cat_001,sel_002053,11.38,747,103,6
prd_0000105,cat_027,sel_001081,19.44,2478,46,1
prd_0000106,cat_018,sel_000220,84.93,1319,96,3
prd_0000107,cat_024,sel_002017,50.86,718,24,5
prd_0000108,cat_011,sel_000655,12.06,520,12,1
prd_0000109,cat_005,sel_002189,20.61,522,16,5
prd_0000110,cat_015,sel_001894,37.13,720,95,7
prd_0000111,cat_039,sel_002444,9.11,847,51,5
prd_0000112,cat_008,sel_002068,58.98,334,31,6
prd_0000113,cat_025,sel_000615,38.5,557,100,2
prd_0000114,cat_002,sel_001054,22.33,599,53,4
prd_0000115,cat_028,sel_001739,33.19,33349,14,5
prd_0000116,cat_009,sel_000789,45.48,1152,101,4
prd_0000117,cat_016,sel_001400,46.04,294,85,7
prd_0000118,cat_013,sel_000614,15.49,6451,83,6
prd_0000119,cat_005,sel_001664,16.3,719,15,7
prd_0000120,cat_012,sel_000863,26.89,467,28,6
prd_0000121,cat_012,sel_000151,51.96,897,89,7
prd_0000122,cat_019,sel_002419,87.88,495,94,6
